,BaselineResNet,ResNetCBAM,ResNetSE,AdvResNet
0.01,0.2697,0.2595,0.2508,0.5941
0.03,0.2118,0.2062,0.1959,0.5935
0.05,0.1743,0.1679,0.1619,0.5906
0.07,0.1493,0.1423,0.1415,0.5881
0.1,0.1188,0.1171,0.1201,0.5844
