epoch,train_loss,train_acc,val_loss,val_acc
1,1.0343952584915161,0.631728,1.050199430656433,0.6519666666666667
2,0.5919075264186859,0.792864,1.0051405617396036,0.6843666666666667
3,0.3460171665391922,0.87854,1.1278700665156047,0.6940666666666667
4,0.20494053604221343,0.927956,1.2883464901924133,0.7016666666666667
5,0.14148731467056275,0.950504,1.512165580177307,0.6925333333333333
6,0.10854602698898315,0.961872,1.4968647275924682,0.7008666666666666
7,0.08917249017715453,0.96864,1.6474941235224405,0.6940166666666666
8,0.07418329474067688,0.97426,1.6589969691594442,0.697
9,0.021299461419910192,0.992552,1.990082525952657,0.7018166666666666
10,0.02145950048956275,0.992592,2.0956399125417073,0.70695
11,0.01942890743714571,0.993272,2.072938180732727,0.7089833333333333
12,0.018951680763237177,0.99348,2.157195551109314,0.7060666666666666
13,0.0172797220621109,0.994132,2.127536789639791,0.7079333333333333
14,0.016759775327950716,0.994296,2.1776336554845175,0.7052666666666667
15,0.015477842879924923,0.994676,2.174086965751648,0.7105666666666667
16,0.016122274955682456,0.99428,2.2684329065322877,0.7103
17,0.01502430629939586,0.994632,2.254567891184489,0.7073833333333334
18,0.014042624619714917,0.995184,2.235394992001851,0.71195
19,0.014562587284646928,0.995076,2.280169510714213,0.70965
20,0.012304805771756917,0.99564,2.3569574352900187,0.7007333333333333
21,0.014014799938820302,0.995176,2.3102726928710937,0.7101
22,0.013235964905701577,0.995528,2.2791514967600506,0.7080166666666666
23,0.004231291211311705,0.998652,2.283736671002706,0.71775
24,0.0022336485839029776,0.999284,2.527732930501302,0.7167833333333333
25,0.0039435168750621375,0.998656,2.5890184056599934,0.7152333333333334
26,0.0029226676548183895,0.999056,2.6452104164123535,0.709
27,0.002880190827144339,0.999028,2.6998679578781126,0.7119166666666666
28,0.0010978704081616014,0.999656,2.688234849421183,0.71975
29,0.000681231848023308,0.99982,2.7609507601420082,0.7172333333333333
30,0.0006598431895514077,0.99978,2.8075729047139486,0.7193666666666667
